,Client ID,Variation,gendr,clnt_age,start_to_step_1_mins,step_1_to_2_mins,step_2_to_3_mins,step_3_to_con_mins,total_time_mins
4177,4690774,Test,U,35.5,0.08,0.1,2.25,0.45,2.83
4185,3990599,Test,U,54.5,0.22,1.75,1.87,0.87,4.7
4192,4919508,Control,F,85.0,0.22,0.47,1.17,5.52,6.23
4203,3058849,Control,F,54.5,0.23,0.88,1.32,0.88,3.32
4208,6941992,Control,M,65.5,1.08,1.62,0.45,1.97,5.12
4219,7082310,Test,M,61.5,0.28,0.37,0.58,3.12,4.35
4255,3959519,Control,M,52.5,0.5,2.33,2.1,2.1,5.35
4285,6669765,Control,F,54.5,0.32,1.85,1.98,5.83,9.98
4290,1180546,Control,F,50.5,0.88,0.6,4.1,0.65,6.23
4308,9552319,Control,U,62.0,0.33,0.17,0.57,3.2,4.27
4330,2122736,Control,F,51.5,0.92,0.37,1.7,7.3,10.28
4335,1275733,Test,F,44.5,0.08,0.12,0.65,4.02,4.87
4344,8422642,Control,M,60.5,0.37,0.25,1.37,1.32,3.3
4353,546337,Control,M,47.0,0.07,0.37,1.87,3.38,5.68
4361,3537735,Control,M,37.5,0.15,0.38,5.25,0.6,6.38
4369,8343009,Control,U,31.0,0.45,0.2,1.03,0.3,1.77
4377,7191234,Control,U,49.0,0.1,0.17,1.88,0.47,2.62
4382,8794039,Control,F,53.5,0.13,0.2,1.1,1.05,2.48
4390,8170143,Control,M,69.5,0.93,0.18,0.88,2.75,4.75
4402,5623848,Test,U,51.5,1.47,0.87,2.3,0.9,4.57
4422,5255030,Test,F,51.5,1.03,0.42,0.65,3.08,5.18
4430,4066207,Test,U,66.0,0.15,0.48,0.37,4.33,5.33
4435,4978709,Control,M,35.5,0.08,0.47,1.67,1.23,3.45
4440,5258581,Control,F,37.5,0.38,0.12,3.77,1.9,6.17
4445,144678,Control,U,46.5,0.73,0.23,0.68,2.75,4.4
4495,5081402,Test,M,44.5,0.22,2.7,1.23,2.28,5.45
4504,3172746,Test,F,48.5,0.27,0.3,1.02,0.6,2.1
4511,267391,Test,M,59.5,0.1,0.25,1.72,0.37,2.43
4547,5041971,Test,M,37.0,0.08,0.32,0.6,0.33,1.33
4552,5761113,Test,U,31.0,1.18,0.22,1.2,0.3,2.9
4557,6103153,Control,F,37.0,0.08,0.1,1.12,0.3,1.6
4562,7022761,Test,F,59.5,0.07,0.4,0.67,0.82,1.95
4567,4580091,Control,M,52.5,0.12,0.1,0.63,0.87,1.72
4572,4529371,Control,F,24.5,0.4,0.12,4.35,1.38,6.25
4598,6478662,Test,F,48.5,1.33,0.1,1.23,0.73,3.28
4605,5910608,Control,U,30.5,0.17,0.08,0.92,0.9,2.07
4624,9516166,Test,U,70.5,0.25,0.75,1.68,5.18,7.87
4656,7651432,Test,U,26.5,1.42,0.18,1.35,1.32,3.05
4673,9182143,Control,M,32.5,0.18,0.1,1.3,1.25,2.73
4688,5283242,Control,U,30.5,0.18,0.18,1.07,0.33,1.77
4699,2601202,Control,U,29.5,0.2,0.15,2.58,1.02,3.95
4706,5141416,Test,U,54.5,0.32,0.63,2.18,3.45,6.58
4715,8928774,Test,F,34.5,0.08,0.18,1.13,0.58,1.98
4721,8017188,Test,M,54.5,0.25,0.52,1.45,2.78,5.0
