,Client ID,Variation,gendr,clnt_age,start_to_step_1_mins,step_1_to_2_mins,step_2_to_3_mins,step_3_to_con_mins,total_time_mins
120,1502049,Control,U,31.0,2.8833333333333333,25.2,0.9,50.46666666666667,79.45
128,6590646,Test,F,42.5,0.08333333333333333,0.38333333333333336,0.85,0.4666666666666667,1.7833333333333334
133,7585111,Control,U,42.0,0.5833333333333334,0.4666666666666667,1.8666666666666667,0.0,0.0
137,3638336,Test,M,30.5,0.3,0.36666666666666664,1.3,0.9,2.8666666666666667
143,1508759,Test,U,58.5,0.11666666666666667,0.7333333333333333,1.2333333333333334,2.9,4.983333333333333
150,9381346,Control,U,62.5,0.25,1.4833333333333334,2.65,0.9833333333333333,5.366666666666666
161,7035604,Control,U,30.5,0.13333333333333333,0.11666666666666667,0.7666666666666667,0.5,1.5166666666666666
166,3055315,Control,F,34.5,6.533333333333333,0.3,0.31666666666666665,0.75,7.416666666666667
188,3350906,Control,U,55.0,0.2,0.45,1.6833333333333333,0.0,0.0
197,2109862,Test,U,38.0,0.2833333333333333,0.4666666666666667,1.9166666666666667,0.5166666666666667,1.7166666666666666
206,1549737,Control,U,68.5,0.23333333333333334,0.4166666666666667,0.48333333333333334,2.716666666666667,3.85
211,7474517,Control,U,52.5,4.766666666666667,0.4,2.7333333333333334,1.2166666666666666,6.733333333333333
219,6448014,Control,U,57.5,0.23333333333333334,0.9333333333333333,0.5166666666666667,1.1,2.783333333333333
225,6651826,Control,U,34.5,0.13333333333333333,0.7166666666666667,0.95,0.6166666666666667,2.4166666666666665
230,2305285,Control,M,54.0,0.25,0.6,2.9,0.0,0.0
244,3065089,Test,M,63.0,6.6,2.2333333333333334,5.333333333333333,0.0,0.0
274,313570,Test,F,48.0,2.1333333333333333,1.2666666666666666,2.216666666666667,3.5833333333333335,9.2
279,9721424,Test,F,32.0,2.6,1.1166666666666667,1.6833333333333333,0.43333333333333335,1.2166666666666666
291,3753796,Control,F,66.5,0.36666666666666664,1.25,0.45,2.183333333333333,4.25
297,6647577,Test,F,68.0,0.08333333333333333,0.0,0.0,0.0,0.0
299,6341488,Test,F,65.0,0.4,0.3333333333333333,1.3833333333333333,0.6,2.716666666666667
304,838619,Test,F,60.5,1.15,1.4166666666666667,1.6333333333333333,0.7333333333333333,2.283333333333333
313,2000151,Test,F,38.0,0.2,0.0,0.0,0.0,0.0
316,6579978,Control,M,74.0,0.08333333333333333,0.0,0.0,0.0,0.0
319,7419744,Test,U,49.0,9.683333333333334,0.11666666666666667,1.4,6.883333333333334,8.45
328,9796602,Test,F,46.0,0.85,0.7666666666666667,0.0,0.0,0.0
335,1329260,Control,F,63.5,0.36666666666666664,0.23333333333333334,3.8,1.4,5.8
341,4821014,Control,M,62.5,4.083333333333333,2.0833333333333335,1.9833333333333334,2.3833333333333333,3.25
355,7906602,Test,F,54.5,0.06666666666666667,0.26666666666666666,1.2166666666666666,0.9833333333333333,2.533333333333333
360,2671231,Control,U,23.0,0.15,0.25,0.9666666666666667,0.4,1.7666666666666666
365,9587439,Control,U,26.5,0.55,0.3333333333333333,2.2666666666666666,1.1,4.25
370,5542798,Test,M,56.5,0.08333333333333333,0.23333333333333334,1.6166666666666667,0.4666666666666667,2.4
375,5977906,Control,F,76.5,0.38333333333333336,0.5166666666666667,0.4666666666666667,1.9333333333333333,3.3
380,7928244,Test,F,33.0,0.11666666666666667,0.26666666666666666,1.1333333333333333,0.43333333333333335,1.95
385,4906392,Control,F,27.5,0.8833333333333333,0.9666666666666667,5.883333333333334,1.05,8.783333333333333
392,3939684,Control,F,60.5,0.2833333333333333,0.65,0.6333333333333333,4.016666666666667,5.583333333333333
398,3731320,Test,U,39.5,0.1,0.55,1.1333333333333333,6.016666666666667,7.8
404,9055726,Test,U,25.0,0.6,0.23333333333333334,2.216666666666667,0.0,0.0
410,5808972,Control,U,23.0,0.2,0.0,0.0,0.0,0.0
412,7414763,Test,U,27.0,0.08333333333333333,0.6333333333333333,1.1833333333333333,0.0,0.0
416,1531616,Control,M,60.0,0.38333333333333336,0.38333333333333336,0.48333333333333334,0.0,0.0
425,8387066,Test,M,66.0,0.21666666666666667,0.8166666666666667,0.5833333333333334,2.3833333333333333,4.0
435,3402999,Control,U,39.0,0.2,0.3333333333333333,3.75,0.0,0.0
440,5908339,Control,F,40.0,0.26666666666666666,0.23333333333333334,2.066666666666667,0.6,3.1666666666666665
445,4442018,Control,U,33.0,0.4666666666666667,0.43333333333333335,0.7666666666666667,0.0,0.0
457,3284361,Test,F,31.5,0.15,0.25,0.5166666666666667,0.6333333333333333,1.55
463,9150149,Control,U,43.5,0.08333333333333333,0.11666666666666667,2.683333333333333,1.1,3.9833333333333334
469,7176877,Control,U,35.0,0.2,0.2833333333333333,2.683333333333333,0.6833333333333333,3.85
